ID,Firstname,Lastname,Picture,Photographer,Gender,Birthdate,CurrentParty,City,Zipcode,Facebook,Homepage,Instagram,Twitter,Profession,Education,LeisureInterest,PoliticsInterest,Slug
72,Ibrahim,Benli,72-ibrahim-benli-a-482.jpg,,M,1979-01-01T00:00:00,Enhedslisten – De Rød-Grønne,Herlev ,,https://www.facebook.com/IbrahimBenlispolitikerprofil/,https://www.facebook.com/IbrahimBenlispolitikerprofil/,https://www.instagram.com/ibbenli/,,Byråds- eller regionsrådsmedlem,Kandidat-/masteruddannelse,,"En stærkere venstrefløj i EU-parlamentet er afgørende for et grønt og solidarisk europæisk samarbejde, der prioriterer natur, klima, velfærd og menneskerettigheder over markedet og kapital.",72-ibrahim-benli
40,Elisabeth,Ildal,40-elisabeth-ildal-a-689.jpg,,F,1959-11-22T00:00:00,Det Konservative Folkeparti,Holte,2840,https://www.facebook.com/Elisabethildalrudersdal/,https://rudersdal.konservative.dk/forside/kv-kandidater/ep-kandidat-elisabeth-ildal/,,,Byråds- eller regionsrådsmedlem,Kandidat-/masteruddannelse,https://www.linkedin.com/in/elisabeth-ildal-797ba640?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,Jeg stiller op fordi jeg ønsker et større fokus på  Forskning og Sundhed.,40-elisabeth-ildal
63,Frederikke,Hellemann,63-frederikke-hellemann-a-706.jpg,,F,1991-08-03T00:00:00,Enhedslisten – De Rød-Grønne,,,,,,,Offentligt ansat,Kandidat-/masteruddannelse,"2019-nu: Grøn politisk rådgiver for Nikolaj Villumsen, Enhedslisten og The LEFT in the European Parliament
2017-2019: EU-politisk medarbejder og kampagneleder, Enhedslisten
2012-2017: Cand.scient.pol fra Aarhus Universitet","Jeg stiller op for at gøre Europa grønnere, rødere og mere solidarisk. De sidste fem år har jeg som grøn politisk rådgiver i EU set den kæmpestore forskel man kan gøre for klimaet, naturen og miljøet, hvis vi vil. Jeg stiller op for at stå på klimaet side over for en nølende højrefløj, på naturens side, på lønmodtagernes side. ",63-frederikke-hellemann
128,Renate,Hendriksen,128-renate-hendriksen-a-735.JPG,,F,1961-04-24T00:00:00,Danmarksdemokraterne ‒ Inger Støjberg,Rønne,3700,,x,,,Offentligt ansat,Erhvervsuddannelse,"Uddannet Formbygger, Pædagogisk Assistent og Familieplejer.
Derudover har jeg arbejdet som lærer på Dueodde Efterskole. Som var en efterskole for unge, bogligt svage. 
Mit politiske virke har mest været bestyrelsesarbejde. 
Jeg er som folk er flest.
","Egentlig var det den tvungne barselsorlov til mænd der fik mig rigtigt i gang med EU politik. De har jo selv skrevet i EU at hvis et problem kan løses lokalt, regionalt eller nationalt, vil EU ikke gribe ind. Det vil jeg holde dem op på og jeg synes jo at de danske familier er kloge nok til at bestemme det selv. ",128-renate-hendriksen
161,Inger-Marie,Tryde,161-inger-marie-tryde-a-636.jpeg,Inger-Marie Tryde,F,1973-09-11T00:00:00,Dansk Folkeparti,egå,8250,https://www.facebook.com/ingermarie.tryde,,,,Byråds- eller regionsrådsmedlem,Ikke oplyst,,EU skal fylde meget mindre,161-inger-marie-tryde
65,Ludvig,Goldschmidt,65-ludvig-goldschmidt-a-362.png,,M,1994-04-17T00:00:00,Enhedslisten – De Rød-Grønne,København,,https://www.facebook.com/profile.php?id=61551003758549,https://www.google.com/search?q=ludvig+goldschmidt&rlz=1C1GCEU_daDK1026DK1026&oq=ludvig+goldschmidt&gs_lcrp=EgZjaHJvbWUqDAgAECMYJxiABBiKBTIMCAAQIxgnGIAEGIoFMgcIARAuGIAEMggIAhBFGCcYOzIGCAMQRRg7MgYIBBBFGDwyBggFEEUYPDIGCAYQRRg8MgYIBxBFGEHSAQgxNzQ0ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,https://www.instagram.com/ludviggoldschmidt/,https://twitter.com/ludviggo,Privat ansat/selvstændig,Ph.d.-uddannelse,"Jeg er grøn politisk rådgiver i Folketinget for Enhedslisten og arbejder med klima- og miljøpolitik hver eneste dag. 
Jeg har en Ph.d. i idéhistorie fra Aarhus universitet, hvor jeg skrev min afhandling om økonomer i det danske embedsværk. ","Jeg stiller op, fordi vi har brug for partier i Bruxelles der står på befolkningens side overfor de stærke økonomiske eliter. Som står på naturen og klimaets side, overfor olie- og gasindustrien.

En stærk venstrefløj kan sikre en solidarisk, grøn og retfærdig fremtid. Sammen kan vi bygge et Europa på flertallets betingelser.",65-ludvig-goldschmidt
68,Torsten,Ringgaard,68-torsten-ringgaard-a-74.png,Lizette Kabré,M,1976-06-04T00:00:00,Enhedslisten – De Rød-Grønne,Odense SV,5250,,,,,Privat ansat/selvstændig,Erhvervsuddannelse,"2014 - nu Lokomotivfører Hector Rail
2012 - 2014 Driftchef C Rail Safety
2008 - 2012 Lokomotivfører Contec Rail
2006 - 2008 Lokomotivfører MEV
2002 - 2006 Lokomotivfører DSB S-tog","Jeg kæmper for at få stoppet social dumping, skattely og for vores natur. Jeg ønsker at gøre livet for den almindelige befolkning bedre, så der betales ordentlige lønninger og vi alle har adgang til rekreative områder i naturen. ",68-torsten-ringgaard
110,Mads,Strange,110-mads-strange-a-243.jpeg,,M,1999-11-07T00:00:00,Liberal Alliance,København,,https://www.facebook.com/p/Mads-Strange-61550734245710/,https://madsstrange.dk/,https://www.instagram.com/mads.strange/reels/,https://twitter.com/MadsStrange_,Privat ansat/selvstændig,Bachelor-/diplomuddannelse,"Politisk rådgiver for Liberal Alliances folketingsgruppe: 2022 - 

Studerende på Institut for Statskundskab, KU: 2019 - ","Vi står overfor en masse vigtige udfordringer, som vi kun kan løse ved at samarbejde med andre lande. 

Hvis vi skal have en grøn omstilling, få mere økonomisk vækst og imødegå truslen fra Øst, har vi brug for et stærkt EU. 

Men vi skal også samtidig sikre, at EU ikke blander sig for meget. EU skal ikke diktere fordelingen af din barsel, din løn og dine arbejdstimer. ",110-mads-strange
156,Carsten,Sørensen,156-carsten-soerensen-a-547.jpg,Carsten Sørensen,M,1974-03-29T00:00:00,Dansk Folkeparti,Odense NV,5210,https://www.facebook.com/DFRegionSyd/,https://danskfolkeparti.dk/politikerne/carsten-sorensen/,,,Byråds- eller regionsrådsmedlem,Erhvervsuddannelse,,"jeg arbejder som Regionsrådsmedlem og kan se at EU bestemmer mere og mere i vores verden. jeg mener at det skal være Danskerne som vælger hvem der bestemmer og derfor vil jeg ud af E
u",156-carsten-soerensen
120,Kristoffer,Storm,120-kristoffer-storm-a-66.jpeg,,M,1989-01-26T00:00:00,Danmarksdemokraterne ‒ Inger Støjberg,,,https://www.facebook.com/KristofferHjortStorm,,,,Ikke oplyst,Ikke oplyst,,,120-kristoffer-storm
9,Niels Christian,Dahl,9-niels-christian-dahl-a-279.png,,M,1992-07-19T00:00:00,Socialdemokratiet,Allerød,3450,https://www.facebook.com/nielschristiandahl,https://s-allerød.dk/vores-politikere/europa-parlamentet/,https://www.instagram.com/ncdpol/,,Offentligt ansat,Kandidat-/masteruddannelse,"2024-nu - Fuldmægtig i Forsvarskommandoens Udviklings- og Planlægningsstab
2022-2024 - Fuldmægtig i Forsvarsministeriets Personalestyrelse
2019-2021 - Kandidat i idéhistorie
2017-2019 - Kadet på Søværnets Officersskole","Jeg tager de fælles europæiske værdier meget alvorligt: frihed, fred, retfærdighed og lighed. De er svære at være uenige i, men jeg vil gerne kæmpe for dem, for jeg ser dem presset af andre agendaer. Det er bl.a. teknologi og profit for en hver pris, eller intolerance og censur af bestemte livssyn som nogen ikke er enige i. Vi har ikke plads til den form for stridighed når klima og fred er truet.",9-niels-christian-dahl
155,Sune,Nørgaard,155-sune-noergaard-a-815.jpeg,Gripsign Brande,M,1977-02-08T00:00:00,Dansk Folkeparti,Fredericia,7000,https://www.facebook.com/suneknorgaard,,,,Privat ansat/selvstændig,Erhvervsuddannelse,"Uddannet Pædagogisk assistent med erfaring indenfor misbrugsbehandling, botilbud, psykiatri og socialpsykiatri.",,155-sune-noergaard
160,Søren,Hansen,160-soeren-hansen-a-34.jpeg,,M,1977-03-08T00:00:00,Dansk Folkeparti,Vordingborg,4760,https://www.facebook.com/profile.php?id=100064277853219,,,,Byråds- eller regionsrådsmedlem,Gymnasial uddannelse,,Danmark er et land som ikke behøver EU til at bestemme hvordan landet skal styres. EUs indflydelse på dansk lovgivning og på danskernes hverdag er alt for højt. ,160-soeren-hansen
133,Claus Bisgaard,Skovmose,133-claus-bisgaard-skovmose-a-186.jpeg,,M,1983-05-24T00:00:00,Danmarksdemokraterne ‒ Inger Støjberg,Langholt,,,,,,Privat ansat/selvstændig,Erhvervsuddannelse,,"Jeg stiller op for at få flere folkevalgte som ren faktisk har en erhvervserfaring og en almindelig hverdag, som er nede på Jorden og vil tilgodese alle danskere",133-claus-bisgaard-skovmose
24,Niels Flemming,Hansen,24-niels-flemming-hansen-a-220.jpg,,M,1974-05-16T00:00:00,Det Konservative Folkeparti,Vejle,,https://www.facebook.com/nielsflemminghansen,,https://www.instagram.com/nielsflemming_kons/,https://twitter.com/NielsFlemming01,Folketingsmedlem,Gymnasial uddannelse,,"Jeg stiller op, da jeg som formand for Folketingets Europaudvalg har indset, at der kommer meget lovgivning fra EU, som vi har meget begrænset indflydelse på. Jeg vil derfor ned og være en afgørende stemme der hvor indflydelsen er størst. Jeg vil lave den bedst mulige handel for Danmark i EU.",24-niels-flemming-hansen
76,Kira Marie,Peter-Hansen,76-kira-marie-peter-hansen-a-682.jpg,SF,F,1998-02-23T00:00:00,SF - Socialistisk Folkeparti,Nordhavn,2150,https://www.facebook.com/Kira.M.P.Hansen,https://sf.dk/politiker/kira-marie-peter-hansen/,https://www.instagram.com/kiraphansen/?hl=da,https://twitter.com/Kira_MPH,Europa-Parlamentariker,Bachelor-/diplomuddannelse,"Medlem af EU-Parlamentet for SF (2019-2024)
Bestyrelsesformand på Europaskolen i København (2023-)
Medlem af Forretningsudvalget i Europabevægelsen (2022-)
Bachelor, International Relations, Belgien (2020-)
Kampagneleder, Astrid Aller, kommunalvalg (2017)
","Spidskandidat og medlem af Europa-Parlamentet for SF.
Næstformand i Parlamentets grønneste gruppe og kåret som den mest indflydelsesrige danske EU-Parlamentariker.
De seneste fem år har jeg lagt arm med kemigiganter, landbrugets lobbyister og multinationale selskaber. Jeg brænder især for klima, natur, fertilitet, kampen mod ulighed og ligestilling.
Bor med min kæreste, Jeppe.",76-kira-marie-peter-hansen
80,Magnus,Flensborg,80-magnus-flensborg-a-856.jpg,,M,2003-01-01T00:00:00,SF - Socialistisk Folkeparti,Aarhus,8000,https://www.facebook.com/magnusflensborgeu,https://www.sfu.dk/epv24,https://www.instagram.com/magnusflensborgeu/,https://twitter.com/Mflensborgeu,Studerende,Bachelor-/diplomuddannelse,,,80-magnus-flensborg
139,Lars,Barfoed,139-lars-barfoed-a-10.jpeg,Mia Lami,M,1957-07-04T00:00:00,Moderaterne,Frederiksberg,2000,https//www.facebook.com/lars.barfoed.9,www.larsbarfoed.eu,,,Privat ansat/selvstændig,Kandidat-/masteruddannelse,"- Cand jur.
- Erfaring fra erhvervslivet bl.a. 7 år som direktør for Finansrådet (nu Finans Danmark) fra 1994 til 2001. Public affairs direktør i Primetime 2017-2020.
- Nu selvstændig rådgiver og bestyrelsesformand m.m.
- Medlem af Folketinget fra 2001 til 2015.
- Tidligere familie- og forbrugerminister, transportminister og justitsminister.
- ","EU er vigtigere end nogensinde. Jeg stiller op, fordi jeg ønsker , at mine 6 børnebørn skal vokse op i et robust Europa, der er sikkert, demokratisk, bæredygtigt og velstående. Jeg vil gerne bringe min erfaring fra både erhvervslivet, Folketinget og som tidligere minister i spil.",139-lars-barfoed
101,Jørn,Grønkjær,101-joern-groenkjaer-a-963.jpg,Anette Roien Fotografi,M,1951-11-02T00:00:00,Alternativet,Rønde,,https://facebook.com/Jørn Grønkjær Jensen,https://www.elbilby.dk,https://www.instagram.com/jorngronkjaer,,Privat ansat/selvstændig,Seminaruddannelse,"Studier i samfundsfag og massekommunikation ved Aarhus Universitet
Seminarielærer og lærer ved DLH
Stifter af Lokalradio Galten
Medejer Ry Teater
Turismechef i Viborg, Silkeborg og Samsø
Formand for Foreningen af Danske Turistchefer
Formand Turismens Udviklingscenter
Medstifter det globale miljøkoncept Green Key
Bestyrelsesformand VisitSirdal Stavanger 
Medstifter ElbilBy
Redaktør We-economy mfl

","Er stærkt engageret i den grønne omstilling indenfor transportsektoren samt energi- og miljøpolitik i det hele taget
Med mit brede europæiske netværk og erfaringer fra en række internationale organisationer, er jeg parat til at tage udfordringen op som medlem af Europa Parlamentet.
Jeg ønsker også, at Europaparlamentet får større indflydelse bl.a. ved direkte valg til Europa Kommissionen.",101-joern-groenkjaer
7,Marianne,Vind,7-marianne-vind-a-492.jpg,Søren Zeuth,F,1970-12-03T00:00:00,Socialdemokratiet,Havdrup,,https://www.facebook.com/MarianneVindEP,https://www.mariannevind.dk/,https://www.instagram.com/marianne_vind/?hl=da,https://twitter.com/MarianneVind?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Europa-Parlamentariker,Ikke oplyst,"Uddannet hospitalslaborant på Rigshospitalet i 1995
Arbejdede som laborant på Novozymes fra 2000-2011
Tillidsrepræsentant fra 2001-2011
Næstformand for HK Privat fra 2011-2019
Medlem af Europa-Parlamentet fra 2019-","Jeg stiller op, fordi der er brug for en rød, grøn og
dansk arbejderstemme i EU. Der er brug for en
politiker, som er klar til at kæmpe med næb og klør for at forsvare den danske arbejdsmarkedsmodel. Og der er brug for en politiker, som ikke er bange for at tage kampen op mod de virksomheder, som udnytter og ødelægger både mennesker og natur.",7-marianne-vind
132,Erik,Poulsen,132-erik-poulsen-a-647.jpg,,M,1962-06-23T00:00:00,Danmarksdemokraterne ‒ Inger Støjberg,Esby,,www.facebook.com/erikpoulsendanmarksdemokraterne,www.erik-poulsen.dk,,,Privat ansat/selvstændig,Erhvervsuddannelse,"Erhvervs uddannet landmand 1986
Aarhus Amtsråd, formand for miljø og trafikudvalget
Organisationsarbejde i landbruget
Formand for Midtjysk Halm
Formand for Dansk Halm
Næstformand for Organic Fuel Technology 
Folketingskandidat fra Østjyllands storkreds
EP kandidat for Danmarksdemokraterne.
",Jeg har altid været politisk interesseret og engageret.  Jeg vil  gerne være med til at gøre en forskel med min livslange erfaring og sunde synspunkter. Fra mit virke kan jeg se at Eu har en stor indvirkning på Danmark og en væsentlig del af den danske lovgivning er Eu relateret. ,132-erik-poulsen
8,Mathias,Niebuhr,8-mathias-niebuhr-a-372.jpg,Silke Thorsager,M,2000-03-21T00:00:00,Socialdemokratiet,København,,https://www.facebook.com/mathias.kringniebuhr/,https://stemmathias.dk/,https://www.instagram.com/mkniebuhr/,https://twitter.com/KringMathias,Privat ansat/selvstændig,Gymnasial uddannelse,"Jeg arbejder hos fagforeningen 3F, hvor jeg hjælper vores unge medlemmer med alt muligt fx deres rettigheder.

Tidligere har jeg arbejdet som guide på kanalrundfarten, for LEGO i Billund, som pædagogmedhjælper i en SFO og som tjener.

Jeg har også arbejdet professionelt med politisk rådgivning for virksomheder i en periode.

Derudover har jeg lavet en del frivilligt arbejde på bl.a. plejehjem.","Min motivation for at stille op er enkel: Jeg vil kæmpe for, at EU sikrer en fremtid, hvor fred og menneskerettigheder overholdes til fulde - hvor man ikke bliver diskrimineret på baggrund af sit køn eller seksualitet. En fremtid, hvor den økonomiske ulighed er mindre og det sociale ansvar er større. En fremtid, der er grøn, retfærdig og fuld af muligheder for alle. Derfor stiller jeg op.",8-mathias-niebuhr
59,Michael,Flarup,59-michael-flarup-a-711.jpeg,,M,1982-03-31T00:00:00,Radikale Venstre,,,https://www.facebook.com/share/NUzjGxoN2U83PQT9/?mibextid=LQQJ4d,,https://www.instagram.com/michael_flarup?igsh=cDc1YTB0MW14Z2Zp&utm_source=qr,,Leder,Kandidat-/masteruddannelse,,"Den Europæiske Union bygger på en ide om, at den menneskelige værdighed er ukrænkelig, og det er ikke uvæsentligt, når den historiske grundlæggelse af EU følger efter to verdenskrige. 
Europa-Parlamentet stadig den ide og det demokratiske tankegods der er værd at kæmpe for og tro på. 
Vi har som europæere stadig brug for at kæmpe for vores personlige og demokratiske frihed. ",59-michael-flarup
116,Thomas,Vesth,116-thomas-vesth-a-877.jpg,,M,1964-03-01T00:00:00,Liberal Alliance,Slagelse,,www.facebook.com/thomasvesth/liberalalliance,,,,Ikke oplyst,Ikke oplyst,,"Jeg har en stor passion for politik og samfundsforhold, er pt. Byrådsmedlem i Slagelse samt med medlem af regionsråd Sjælland.",116-thomas-vesth
134,Bent Juul,Sørensen,134-bent-juul-soerensen-a-633.jpeg,Helle Køster,M,1958-11-26T00:00:00,Danmarksdemokraterne ‒ Inger Støjberg,Ærøskøbing,5970,,www.dunkærgaard.dk,,,Byråds- eller regionsrådsmedlem,Erhvervsuddannelse,"Kommunalbestyrelsesmedlem Ærø kommune. Formand Ærø Forsyning Regionsformand for Forenetkredit. Tidligere formand Mejeriforeningen og Danske Andelsselskaber. Tidligere medlem af COPAs rådgivende udvalg for CAP. Tidligere med af Mælkeafgiftfonden, Promilleafgiftfonden og AP Pensions best.
Tidligere medlem af Det Økonomiske Råd. Formand for Mejeribrugets Forsknings  Fond og Kvægbrugets Forsøgs Center",For af få et EU der er tættere på borgerne og for at skabe forståelse og nærhed til borgerne,134-bent-juul-soerensen
140,Tobias,Marney,140-tobias-william-marney-a-565.jpg,,M,2001-11-08T00:00:00,Moderaterne,Frederiksberg C,2000,https://www.facebook.com/TobiasMarney/,https://tobiasmarney.dk,https://www.instagram.com/tobiasmarney/,https://twitter.com/Tobias_Marney,Studerende,Bachelor-/diplomuddannelse,"Landsformand, Europæisk Ungdom Danmark: april 2021- september 2022
Junior juridisk assistent, Iuno: Januar 2022 - Maj 2022
Lærervikar, Kildevældsskolen: November 2022 - Juni 2023
Juniorkonsulent, Europabevægelsen: August 2023 (vikariat)
","Efternavnet ""Marney"" er sjælendt i Danmark. Min fars familie var en del af det farvede mindretal i Sydafrika. Men de oplevede friheden i Europa. Så da Brexit skete, og da Donald Trump senere blev valgt i USA, så fik jeg følelsen af, at den verden jeg tror på, fundamentalt er under angreb. Derfor engagerede jeg mig blandt som Landsformand i ""Europæisk Ungdom"", og derfor stiller jeg op til EP",140-tobias-william-marney
27,Maria,Pryds,27-maria-pryds-a-646.png,,F,2001-08-21T00:00:00,Det Konservative Folkeparti,København,,https://www.facebook.com/mariapryds.k,,https://www.instagram.com/mariapryds/,https://twitter.com/MariaPryds,Studerende,Kandidat-/masteruddannelse,"Jeg studerer statskundskab på Københavns Universitet, og er student fra Nykøbing Katedralskole på Falster.
Ved siden af studiet har jeg en stilling som studentermedhjælper, mens jeg inden studiet arbejdede som lærervikar, pædagogmedhjælper og tjener. ","Jeg stiller op, fordi jeg ønsker at påvirke det Europa, vi alle bor og lever i. EU er den arena, hvor man kan træffe beslutninger, der rykker ikke bare Danmark, men hele Europa i en bedre retning. Hvis vi vil i mål med den grønne omstilling, slå russerne ud af Ukraine og sikre en nemmere hverdag for Europas borgere, så er EU det rigtige sted at gøre det.",27-maria-pryds
135,Nikolaj,Vang,135-nikolaj-vang-a-150.jpg,,M,1977-11-07T00:00:00,Danmarksdemokraterne ‒ Inger Støjberg,BOGENSE,5400,https://www.facebook.com/NikolajVangFV,https://www.nikolajvang.dk/,,,Privat ansat/selvstændig,Seminaruddannelse,"Jeg har mere end 20 års bred erhvervserfaring både som folkeskolelærer og som selvstændig. Som selvstændig oplever jeg det stigende bureaukratiske pres, som ikke mindst skylles EU og som i fremtiden kun vil stige, hvis vi ikke bremser denne udvikling. ","Jeg er en ganske almindelig familiefar, der kender til den travle hverdag med logistik problemer og økonomiske bekymringer. Jeg har valgt at gå ind i politik fordi jeg oplever at der er alt for langt fra den virkelighed, jeg og min familie kender, til den karrierepolitikere navigere efter. 
",135-nikolaj-vang
30,Søren Friis,Trebbien,30-soeren-friis-trebbien-a-711.jpg,Mie Friis Trebbien,M,1968-08-02T00:00:00,Det Konservative Folkeparti,Hvidovre,,https://www.facebook.com/profile.php?id=100063988094859,sorenfriistrebbbien.konservative.dk,,,Byråds- eller regionsrådsmedlem,Erhvervsuddannelse,,,30-soeren-friis-trebbien
88,Mads,Hvid,88-mads-hvid-a-177.jpg,,M,1988-11-19T00:00:00,SF - Socialistisk Folkeparti,København S,2300,https://www.facebook.com/profile.php?id=61553545566293,https://linktr.ee/MHvid,https://www.instagram.com/m.hvid/,https://twitter.com/Mhvid,Privat ansat/selvstændig,Bachelor-/diplomuddannelse,"Jeg har i mange år arbejdet med progressiv politik både i mit arbejde og som engageret i civilsamfundet.

Det har jeg gjort både herhjemme og i Bruxelles, blandt andet i LGBT-bevægelsen, i samarbejde med fagbevægelsen for at sikre ordentlige forhold i transportbranchen, i Forbrugerrådet og i LGBT-bevægelsen.

I dag er jeg chefrådgiver i København.","Jeg stiller op til Europaparlamentet fordi jeg tror på at det er en af de allervigtigste kamppladser når vi skal finde løsningerne  på nogle af vores største udfordringer. 
Klimakrisen, migration, og påvirkningen af fremtidens teknologi på vores arbejdsmarked og trivsel kan kun løses i fællesskab i Europa.

Jeg tror på at de løsninger er rød/grønne at jeg kan være med til at finde dem.",88-mads-hvid
