Id,Title,Question,Info,ArgumentFor,ArgumentAgainst,OptionalTitle,OptionalQuestion,OptionalInfo,OptionalArgumentFor,OptionalArgumentAgainst,ID_CandidateQuestionType,QuestionListData,IsTopicQuestionType
622,Udenrigs- og sikkerhedspolitik,EU skal støtte produktion af våben i medlemslandene,,"Ruslands aggressive adfærd betyder, at EU-landene i højere grad end tidligere får behov for våben - både til eget forsvar og til at hjælpe Ukraine. EU-støtte kan bidrage til, at flere våben produceres i EU-landene. Det vil både skabe flere arbejdspladser og sikre Europa en større uafhængighed i forhold til forsyninger af våben. ","EU er ikke en militæralliance, og skal derfor ikke blande sig i militære anliggender som produktion af våben. Det er langt fra alle EU-lande, der producerer våben, og som dermed ville kunne nyde godt af sådan en støtte. ",,,,,,1,,False
623,Migration,"EU skal betale for hegn ved de ydre grænser på steder, hvor der er problemer med ukontrolleret migration",,"Det er vigtigt at styrke kontrollen med, hvem der kommer ind i EU. Derfor bør man gøre op med princippet om, at EU ikke vil yde støtte til hegn ved de ydre grænser.",EU skal ikke udvikle sig til Fort Europa. Landene skal selv håndtere kontrollen med EU's ydre grænser.,,,,,,1,,False
626,Udvidelse,EU skal ikke optage flere nye medlemslande,,"EU bør ikke optage nye medlemslande som Ukraine, Georgien med flere. Det bliver alt for dyrt. Demokratiet i landene er tvivlsomt. Der er for meget korruption, og landene har ikke de samme værdier som de nuværende EU-lande. Samtidig vil en udvidelse gøre det endnu sværere at træffe beslutninger i EU. ","EU skal være åben for alle de europæiske lande, som opfylder betingelserne for medlemskab. Det er vigtigt for EU's sikkerhed at få flere lande med i EU-samarbejdet. Som EU-medlemmer vil landene skulle følge EU's regler og europæisk udenrigspolitik. Udenfor EU vil landene f.eks. kunne støtte Rusland. ",,,,,,1,,False
627,Udvidelse,Tyrkiet skal ikke længere være kandidat til at blive medlem i EU,,"Det er næsten 20 år siden, forhandlingerne om tyrkisk EU-medlemskab blev indledt. I mellemtiden har Tyrkiet udviklet sig i en mindre demokratisk retning. Tiden er inde til at erkende, at Tyrkiet aldrig bliver medlem af EU, og derfor bør forhandlingerne stoppes. ","Tyrkiet er både økonomisk og sikkerhedspolitisk et meget vigtigt land for EU. Det er vigtigt at holde Tyrkiet så tæt knyttet til EU som muligt, og dialogen om et kommende EU-medlemskab er helt afgørende i relationerne mellem EU og Tyrkiet. ",,,,,,1,,True
629,Grøn omstilling,EU skal vedtage fælles stop for udvinding af fossile brændstoffer senest i 2030,,"Hvis der skal gøres noget ved klimaudfordringerne, skal EU hurtigst muligt udfase olie, gas og kul og i stedet bruge andre energikilder. Hvis det skal nytte noget, er tiltagene nødt til at ske på europæisk plan.","Det skal være op til medlemslandene selv at beslutte, hvor hurtigt de vil og kan udfase brugen af olie, gas og kul.",,,,,,1,,False
630,Landbrug & Miljø,Det samlede landbrugsareal i EU skal mindskes for at gøre plads til mere vild natur,,"Europas natur er i dårlig stand. Biodiversiteten er faldende, og flere og flere arter står overfor udryddelse. Derfor bør naturen genoprettes, og det kan ske ved at gøre flere landbrugsområder til vild natur. ","Det er vigtigt at Europas landbrugsareal bevares. Europæisk landbrug er en garant for billige og sikre fødevarer til Europas forbrugere. Der er allerede miljøkrav, som landbruget skal overholde.   ",,,,,,1,,False
631,Landbrug & Miljø,"Det er godt, at EU vil ændre reglerne, så det i nogle tilfælde bliver tilladt at jage ulve i Danmark",,"Ulve bør ikke blive betragtet som en beskyttet race i Danmark. Mere end 60 procent af Danmarks areal er landbrug, og dermed er der ikke noget naturligt miljø for ulve i Danmark. I stedet ser vi ulvene angribe tamdyr som f.eks. får, og den situation er uholdbar. ","Der bør udvikles mere vild natur i Danmark, og med ulvens indvandring, har vi i Danmark fået en dyreart tilbage, som traditionelt hører til i den danske natur. Derfor bør ulven beskyttes med et forbud mod jagt.",,,,,,1,,True
634,Migration,"EU skal oprette modtagecentre for asylansøgere, som skal ligge uden for Europa",,"Asylansøgere bør opholde sig på modtagecentre udenfor Europa, mens deres asylansøgning behandles. Dels for at undgå, at asylansøgere rejser videre rundt i EU, mens deres ansøgning behandles. Dels for at sende et klart signal om, at det kun er personer, som er berettiget til asyl, som får adgang til EU. ","Asylansøgere bør opholde sig i det land, hvor asylansøgningen er indgivet. Asylbehandlingen bør ske i EU´s medlemslande, hvor det er muligt at sikre en ordentlig behandling af asylansøgerne, mens deres ansøgning om asyl behandles. ",,,,,,1,,False
636,Arbejdsmarked,"Det er godt, at EU har fastsat et minimum for øremærket barsel til mænd",,"Det er positivt, at EU har vedtaget ændringerne, da det vil skabe bedre ligestilling på arbejdsmarkedet. Der er stadig stor forskel på hvor lang barsel, moderen og faderen tager, og øremærket barsel vil skabe øget ligestilling.","Det er negativt, at EU blander sig i danske barselrettigheder, da det er et nationalt anliggende. Øremærket barsel vil også kunne gribe ind i forældrenes individuelle frihed til at fordele barsel mellem sig.",,,,,,1,,False
637,Generelt,"Lande skal kunne trækkes i EU-støtte, hvis deres lovgivning diskriminerer seksuelle minoriteter",,"EU-samarbejdet er baseret på en række fælles værdier, og EU-landene har i fællesskab defineret rettigheder, som gælder for alle borgere bosat i EU. Hvis et land bryder EU-rettighederne ved at diskriminere minoriteter, så bør det trækkes i EU-støtte som straf. ","De forskellige EU-lande har forskellige nationale kulturer og værdier - f.eks. når det gælder seksuelle minoriteter. Der skal være plads til, at landene kan bevare deres nationale identitet f.eks. i forhold til synet på seksuelle minoriteter, uden at miste EU-støtte. ",,,,,,1,,False
639,Udenrigs- og sikkerhedspolitik,Vi skal fokusere mere på EU end USA som udenrigs- og sikkerhedspolitisk allieret,,"Med udsigt til, at Donald Trump endnu engang kan blive USA's præsident, så er der ingen garanti for, at Danmark og Europa kan regne med støtte fra USA, hvis der i fremtiden opstår en militær trussel mod Europa. Derfor er det sikkerhedspolitisk nødvendigt for Danmark, at EU udvikler sit forsvarssamarbejde. ","Hvis EU udvikler sig til en militær alliance, så vil det sende et signal til USA om, at Europa ikke længere har brug for amerikanerne. Det vil bringe NATO-samarbejdet i fare, og det er uheldigt, for NATO er fundamentet for Danmarks sikkerhed. Derfor bør Danmark klart være fokuseret på at beholde USA som nær partner indenfor udenrigs- og sikkerhedspolitik.  ",,,,,,1,,True
641,Arbejdsmarked,"Det er godt, at EU lovgiver om kønskvoter i virksomheders bestyrelser",,"Kønsmæssig ligestilling er en vigtig europæisk grundværdi, som vi skal bruge EU til at fremme. Det er godt for europæisk erhvervsliv at få mere ligestilling, og hvis alle bliver stillet de samme krav, er konkurrencesituationen mest fair.  ","Uanset, om det er godt at stille krav om ligestilling i virksomheders bestyrelser, så er det ikke noget, som EU skal blande sig i med lovgivning. Det påfører europæiske virksomheder flere regler og mere bureaukrati uden at skabe reel ligestilling.",,,,,,1,,True
644,Indre marked,EU skal forbyde TikTok,,"TikTok er ejet af en kinesisk koncern, der må betragtes som under stærk indflydelse fra Kinas autokratiske ledelse. Derfor er det farligt for Europas sikkerhed og konkurrencedygtighed, hvis TikTok får lov til at fortsætte med at indhente og anvende personlige data fra millioner af europæere.","TikTok er et privat firma, ligesom Facebook. EU nyder godt af at handle på et frit, globalt marked. Hvis man baseret på mistanke om sikkerhedsproblemer vil forbyde kinesiske selskaber at tjene penge i Europa, så kan Kina slå igen ved at forbyde europæiske virksomheder adgang til deres marked. Det er skadeligt for EU’s økonomi.",,,,,,1,,False
646,Udenrigs- og sikkerhedspolitik,EU skal anerkende Palæstina som stat,,"Hele EU og dermed Danmark bør anerkende Palæstina, fordi en tostatsløsning er nødvendig for en troværdig fredsaftale med Israel. Både FN, Verdensbanken og 139 lande verden over har anerkendt Palæstina som stat, herunder Sverige og otte andre EU-lande. Danmark har hidtil ikke gjort det, fordi vi ikke vil gå enegang i EU.","Det ville være et forkert signal at sende, hvis EU anerkender en stat, hvis struktur, grænser og ledelsesform er usikker. Det er uklart, hvor meget Hamas bestemmer i palæstinensiske områder, og de skal ikke ’belønnes’ for deres terrorangreb. Det ville provokere Israel. Desuden er det urealistisk, fordi EU-landene er meget uenige om spørgsmålet.",,,,,,1,,False
